PIB_ID,VALOR_PIB,PAIS_INDICADOR,DATA_INDICADOR
BR2001,131575500,1,2001
BR2002,148878700,1,2002
BR2003,171795000,1,2003
BR2004,195775100,1,2004
BR2005,217058400,1,2005
BR2006,240944900,1,2006
BR2007,272026200,1,2007
BR2008,310980300,1,2008
BR2009,333303900,1,2009
BR2010,388584700,1,2010
BR2011,437638100,1,2011
BR2012,481475900,1,2012
BR2013,533161800,1,2013
BR2014,577895300,1,2014
BR2015,599578700,1,2015
BR2016,626932800,1,2016
BR2017,658547800,1,2017
BR2018,700414100,1,2018
BR2019,740702300,1,2019
BR2020,744785800,1,2020
EUA2001,1058182140,2,2001
EUA2002,1093641905,2,2002
EUA2003,1145824388,2,2003
EUA2004,1221372915,2,2004
EUA2005,1303664023,2,2005
EUA2006,1381461141,2,2006
EUA2007,1445185866,2,2007
EUA2008,1471284408,2,2008
EUA2009,1444893303,2,2009
EUA2010,1499205273,2,2010
EUA2011,1554258110,2,2011
EUA2012,1619700735,2,2012
EUA2013,1678484920,2,2013
EUA2014,1752716370,2,2014
EUA2015,1823830057,2,2015
EUA2016,1874507569,2,2016
EUA2017,1954297918,2,2017
EUA2018,2061186093,2,2018
EUA2019,2143322470,2,2019
EUA2020,2093660000,2,2020
